Ref,Val,Package,PosX,PosY,Rot,Side
"TP33","TestPoint_Alt","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",107.7540,-0.7720,0.0000,top
"TP34","TestPoint_Alt","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",132.1380,-12.4560,0.0000,top
"TR1","Custom_1:19.5","Tr12to450V_Alixp",113.5960,-23.3780,180.0000,top
"U1","UC3845","DIP-8_W7.62mm",84.1370,-26.1720,0.0000,top
"U20","TCMT1108","SOP-4_4.4x2.6mm_P1.27mm",135.4400,-27.6960,180.0000,bottom
"U21","TL431M","SOT-23",140.7740,-8.3920,90.0000,bottom
"U22","UC3845","Soic-8_to_DIP-8",160.3700,-0.8100,0.0000,top
"U23","UC3845","Soic-8_to_DIP-8",160.3700,-12.2400,0.0000,top
"U24","UC3845","Soic-8_to_DIP-8",160.3700,-23.6700,0.0000,top
"U25","UC3845","Soic-8_to_DIP-8",160.3700,-35.1000,0.0000,top
"VR1","5k","Potentiometer_Bourns_3296W_Vertical",139.2500,-0.2640,0.0000,top
